,latitude,longitude,possible_illegal,room_type
8,40.7485085578,-73.9124700075,False,Entire home/apt
9,40.743151015,-73.9173333962,True,Private room
19,40.7457158139,-73.9161236051,False,Private room
20,40.7426759784,-73.9161163885,False,Entire home/apt
24,40.7448129632,-73.9175364093,True,Shared room
26,40.7431773885,-73.9155827912,False,Entire home/apt
36,40.7444446538,-73.924510803,True,Entire home/apt
39,40.7373016704,-73.9234014585,True,Entire home/apt
54,40.744392034,-73.9216266953,False,Shared room
56,40.7382643888,-73.9245790289,True,Private room
61,40.7413679595,-73.9234038978,False,Private room
64,40.7383527841,-73.9263598876,True,Private room
65,40.7432832156,-73.9332646681,True,Private room
69,40.7494711344,-73.9147205244,True,Entire home/apt
70,40.7418943681,-73.9237499334,True,Private room
72,40.8448695719,-73.7895405038,False,Entire home/apt
74,40.8497745692,-73.7866093874,False,Entire home/apt
75,40.8500238142,-73.7893275949,True,Private room
79,40.8393961939,-73.7814372484,False,Private room
81,40.8667696147,-73.8593779299,True,Private room
82,40.859137818,-73.8697942197,True,Private room
83,40.8663306627,-73.8564284936,False,Private room
85,40.8705409674,-73.8468070882,False,Entire home/apt
88,40.8583965926,-73.8696857531,True,Entire home/apt
90,40.866819652,-73.8581159443,True,Private room
91,40.859559279,-73.8706689777,True,Private room
93,40.8646580453,-73.8570873879,True,Entire home/apt
95,40.8678870251,-73.8599936998,False,Private room
96,40.8666678426,-73.8563455616,False,Private room
100,40.8681441652,-73.858744983,True,Private room
101,40.8668887201,-73.85775618,True,Private room
104,40.7715738329,-73.9069795292,False,Entire home/apt
110,40.7709314363,-73.9172577462,True,Private room
112,40.7773019257,-73.9036866988,False,Private room
121,40.777758974,-73.9161217436,True,Private room
124,40.7725919545,-73.9145901236,True,Private room
128,40.7702806463,-73.913524177,True,Entire home/apt
129,40.7780899795,-73.908883278,True,Private room
130,40.7771832654,-73.9267594471,True,Entire home/apt
131,40.7753460727,-73.9084569226,False,Entire home/apt
132,40.7770735815,-73.907101924,False,Private room
137,40.7729207032,-73.9139813624,False,Private room
138,40.7743329786,-73.9173438036,False,Private room
141,40.7698941015,-73.9073540286,False,Private room
144,40.7737495361,-73.9164608689,False,Private room
146,40.7767944165,-73.9168668863,False,Entire home/apt
147,40.7747820238,-73.9191289934,True,Private room
149,40.7746896,-73.9072788869,False,Private room
152,40.7760494633,-73.9077373756,False,Entire home/apt
153,40.7759093323,-73.9145013853,False,Private room
154,40.77483018,-73.9169976676,False,Private room
157,40.7747226835,-73.9099307065,False,Private room
162,40.7731727466,-73.9168965244,True,Private room
169,40.7750332299,-73.9188163697,True,Private room
171,40.7728727578,-73.8905096984,False,Private room
172,40.7767869613,-73.9211976272,False,Entire home/apt
174,40.7718330427,-73.9097340915,False,Private room
181,40.7773200816,-73.9119936697,True,Private room
184,40.7770698043,-73.9139764112,False,Private room
185,40.7777896704,-73.9089620304,False,Private room
191,40.7764836889,-73.9159486277,False,Entire home/apt
195,40.7701077973,-73.8992569764,True,Private room
198,40.7757310096,-73.9128025808,False,Private room
204,40.7758795046,-73.9078157632,False,Entire home/apt
212,40.7767161285,-73.9195610693,False,Entire home/apt
213,40.7753035933,-73.9027320034,True,Entire home/apt
214,40.7729689528,-73.9160379163,True,Entire home/apt
215,40.7756885575,-73.9127506161,False,Entire home/apt
219,40.7716536545,-73.9017706444,False,Entire home/apt
222,40.7766889961,-73.9115061299,False,Entire home/apt
224,40.7710253414,-73.8946130629,False,Private room
229,40.7774180203,-73.9156138759,False,Entire home/apt
233,40.7774212162,-73.9096502623,False,Private room
235,40.7720883743,-73.9108204689,False,Private room
237,40.7718792647,-73.9155467174,False,Private room
244,40.7737172051,-73.9145024496,False,Private room
245,40.7764488068,-73.9056620412,True,Private room
251,40.779595331,-73.9084049416,True,Private room
253,40.7696100978,-73.9045149516,True,Private room
257,40.7780460718,-73.9152055729,True,Entire home/apt
260,40.772057735,-73.911244492,True,Entire home/apt
263,40.7773770075,-73.9220358803,False,Entire home/apt
265,40.7707660889,-73.9090311274,False,Private room
271,40.7727334669,-73.9112999939,False,Entire home/apt
276,40.7731557369,-73.8922954432,False,Private room
277,40.7716162902,-73.9078042289,False,Private room
281,40.7722913705,-73.9162788585,False,Private room
283,40.7714656868,-73.9166009458,False,Private room
288,40.7689761418,-73.8995746929,True,Private room
293,40.7720929145,-73.9109561511,False,Private room
296,40.777871925,-73.9147229752,True,Entire home/apt
297,40.7713806842,-73.9089468806,True,Private room
300,40.7696194398,-73.8960386536,False,Entire home/apt
301,40.7727588018,-73.9022082996,False,Entire home/apt
309,40.7694760419,-73.8997920741,True,Private room
314,40.777527553,-73.9095198224,False,Private room
318,40.7802038205,-73.9091308114,False,Entire home/apt
323,40.7784915612,-73.9058093109,False,Entire home/apt
324,40.771787114,-73.8987985132,False,Private room
326,40.7737621554,-73.9185480361,True,Private room
328,40.7749651724,-73.9142490176,False,Entire home/apt
333,40.7767256118,-73.9123177367,False,Entire home/apt
343,40.7698212573,-73.9076203059,False,Private room
347,40.7743502242,-73.912174579,True,Private room
351,40.7730196987,-73.9183879341,False,Private room
354,40.7726971756,-73.9158257504,False,Private room
364,40.7744943684,-73.915053029,False,Private room
365,40.7692131776,-73.9083148091,True,Private room
366,40.7789045865,-73.9068829272,False,Entire home/apt
371,40.7760468567,-73.909897929,False,Private room
377,40.8213771565,-73.8760255454,True,Private room
378,40.8293919706,-73.8651368405,True,Private room
382,40.6879162851,-73.837522359,False,Entire home/apt
383,40.6858056885,-73.8464181994,False,Shared room
384,40.6843972045,-73.8472029049,False,Private room
390,40.6797352219,-73.8441345281,False,Entire home/apt
391,40.6839927396,-73.8507105442,True,Entire home/apt
398,40.6832526513,-73.8529538819,False,Entire home/apt
399,40.6852409017,-73.8453092429,False,Private room
407,40.679238717,-73.8477140768,True,Entire home/apt
408,40.6765662533,-73.8408346538,True,Entire home/apt
409,40.6894897959,-73.8402300623,True,Private room
410,40.6881945524,-73.8394572743,True,Private room
412,40.6904041984,-73.8372738155,False,Private room
413,40.6855940647,-73.8495959815,True,Entire home/apt
433,40.8619626751,-73.9007509739,False,Private room
434,40.7802864127,-73.8038480534,False,Private room
437,40.7972086454,-73.8160032699,False,Entire home/apt
443,40.5516586792,-74.1689517393,True,Private room
444,40.5507340398,-74.1690521263,False,Private room
445,40.5926245056,-74.0665867386,False,Entire home/apt
447,40.5925121863,-74.0647894606,False,Entire home/apt
449,40.5919297889,-74.0647642621,False,Entire home/apt
450,40.5876860561,-74.0698601024,False,Private room
465,40.5917215177,-73.7866526823,False,Shared room
472,40.5883431676,-73.7950918339,False,Private room
475,40.5887345213,-73.79503411,False,Private room
481,40.5939939499,-73.7969279142,True,Entire home/apt
482,40.5926972007,-73.7898959752,True,Entire home/apt
493,40.5978349075,-73.8015759762,True,Entire home/apt
497,40.5887492838,-73.7910885128,False,Entire home/apt
501,40.5883523659,-73.7956533855,True,Private room
506,40.589207237,-73.7947928539,True,Entire home/apt
508,40.5948299273,-73.7884039013,True,Entire home/apt
509,40.5968373369,-73.794489656,True,Private room
516,40.5920421919,-73.7866504023,True,Entire home/apt
518,40.5897718633,-73.7949794758,True,Private room
519,40.5890959905,-73.7948352393,True,Private room
521,40.5863363376,-73.7990604924,True,Entire home/apt
526,40.5902911209,-73.7903220636,False,Private room
539,40.7566503125,-73.9201514385,False,Entire home/apt
540,40.7628678209,-73.915623438,False,Private room
541,40.7596019873,-73.9239410211,False,Entire home/apt
547,40.7557982037,-73.9237662582,False,Private room
551,40.7623741091,-73.9101261261,False,Private room
555,40.7612246367,-73.9116349278,False,Entire home/apt
556,40.7621241332,-73.9116478741,False,Entire home/apt
559,40.763132132,-73.9172391633,False,Entire home/apt
560,40.7678787801,-73.9233425,False,Entire home/apt
562,40.7693329667,-73.9116378292,False,Private room
566,40.7570265255,-73.9166611975,True,Private room
567,40.7697402585,-73.9181884501,False,Entire home/apt
569,40.7596644784,-73.9092374636,False,Private room
571,40.7660451776,-73.9292151827,False,Private room
575,40.7615168198,-73.9225430132,False,Private room
577,40.7662253753,-73.931946558,False,Private room
579,40.7637073789,-73.9204862703,False,Entire home/apt
586,40.7626643472,-73.9145115371,True,Entire home/apt
591,40.7631514261,-73.9261748086,True,Private room
593,40.7557207318,-73.9263183813,False,Private room
594,40.7646055288,-73.9236730982,True,Private room
595,40.7628437288,-73.9070729979,False,Private room
598,40.7678140668,-73.9268444815,True,Entire home/apt
600,40.7644687195,-73.9210294514,True,Entire home/apt
602,40.7659342053,-73.9166098793,False,Private room
603,40.764749697,-73.917128719,False,Private room
606,40.7571002538,-73.9187653973,True,Private room
608,40.7653016913,-73.9266055419,False,Private room
611,40.7595850981,-73.9243901813,False,Entire home/apt
616,40.7643389359,-73.9213210515,False,Entire home/apt
619,40.76664728,-73.9327039664,True,Private room
621,40.7640262757,-73.9278213762,False,Entire home/apt
622,40.7644902185,-73.9185969931,False,Private room
624,40.7578209934,-73.9212897264,False,Entire home/apt
626,40.7714273079,-73.9222349401,False,Entire home/apt
627,40.7639371015,-73.9202150284,False,Private room
629,40.7697866109,-73.9187903358,True,Private room
630,40.7604243322,-73.9207330177,False,Entire home/apt
631,40.7677849702,-73.9220080199,False,Entire home/apt
645,40.7700563313,-73.9304324173,False,Private room
647,40.7640415286,-73.9117431827,False,Private room
650,40.7635726088,-73.9282926236,False,Private room
652,40.7635898505,-73.9058616683,True,Private room
654,40.7553464551,-73.9260853493,False,Entire home/apt
655,40.7654424545,-73.9235526761,False,Private room
659,40.7713043255,-73.9262826758,False,Entire home/apt
662,40.7685961854,-73.9201045646,True,Private room
670,40.7569502091,-73.9283567769,False,Private room
678,40.7579930191,-73.9200595434,True,Private room
681,40.7640277648,-73.9091356074,False,Entire home/apt
685,40.7709279974,-73.9329055948,False,Private room
690,40.7716215338,-73.9262550151,False,Private room
693,40.7621897208,-73.9196284339,True,Entire home/apt
694,40.7569742642,-73.91655944,False,Private room
