,GEOID,County ,median_rent,monthly_BnB,rent_diff,poverty_rate,premium_pct_median_rent
2,36005000400,Bronx,1448.0,3825.0,2377.0,0.114119922631,1.64157458564
3,36005001600,Bronx,950.0,2460.0,1510.0,0.231988472622,1.58947368421
4,36005001900,Bronx,1140.0,3191.25,2051.25,0.262472885033,1.79934210526
5,36005002300,Bronx,405.0,2900.0,2495.0,0.588034188034,6.16049382716
7,36005002500,Bronx,549.0,3000.0,2451.0,0.498397435897,4.46448087432
12,36005003900,Bronx,954.0,3510.0,2556.0,0.280535855004,2.67924528302
14,36005004200,Bronx,795.0,1260.0,465.0,0.355758266819,0.584905660377
21,36005005902,Bronx,1217.0,4350.0,3133.0,0.237068965517,2.57436318817
23,36005006100,Bronx,954.0,1980.0,1026.0,0.036036036036,1.07547169811
25,36005006300,Bronx,1153.0,3432.5,2279.5,0.248031496063,1.97701647875
29,36005007000,Bronx,1284.0,1170.0,-114.0,0.254291845494,-0.088785046729
34,36005007500,Bronx,757.0,3750.0,2993.0,0.308390022676,3.95376486129
39,36005008500,Bronx,914.0,3150.0,2236.0,0.344104803493,2.44638949672
41,36005008700,Bronx,962.0,2820.0,1858.0,0.265095729013,1.93139293139
43,36005009000,Bronx,435.0,2550.0,2115.0,0.31746031746,4.86206896552
44,36005009200,Bronx,1304.0,3570.0,2266.0,0.188888888889,1.73773006135
45,36005009300,Bronx,1104.0,1500.0,396.0,0.316267547481,0.358695652174
53,36005012101,Bronx,1055.0,3570.0,2515.0,0.398473282443,2.38388625592
56,36005012500,Bronx,1127.0,3150.0,2023.0,0.379942140791,1.7950310559
61,36005013300,Bronx,706.0,6435.0,5729.0,0.267889908257,8.11473087819
64,36005014100,Bronx,1010.0,6750.0,5740.0,0.278015397776,5.68316831683
73,36005016000,Bronx,1636.0,2820.0,1184.0,0.0,0.723716381418
87,36005018102,Bronx,1077.0,3750.0,2673.0,0.291525423729,2.48189415042
90,36005018900,Bronx,1054.0,2700.0,1646.0,0.412566686426,1.56166982922
92,36005019400,Bronx,1386.0,2130.0,744.0,0.215605749487,0.536796536797
93,36005019500,Bronx,1062.0,3660.0,2598.0,0.325892857143,2.44632768362
97,36005020100,Bronx,1061.0,1830.0,769.0,0.380147835269,0.72478793591
103,36005021001,Bronx,1144.0,2580.0,1436.0,0.138235294118,1.25524475524
104,36005021002,Bronx,1142.0,2640.0,1498.0,0.129291453616,1.31173380035
105,36005021100,Bronx,999.0,3600.0,2601.0,0.449411764706,2.6036036036
111,36005021800,Bronx,1159.0,5850.0,4691.0,0.214470284238,4.04745470233
115,36005022102,Bronx,1109.0,1980.0,871.0,0.571045576408,0.785392245266
116,36005022200,Bronx,1254.0,2190.0,936.0,0.215080346106,0.746411483254
119,36005022403,Bronx,1269.0,3075.0,1806.0,0.272123893805,1.4231678487
120,36005022404,Bronx,1190.0,2640.0,1450.0,0.17417162277,1.21848739496
124,36005022800,Bronx,1342.0,12030.0,10688.0,0.188796680498,7.96423248882
125,36005022901,Bronx,1048.0,3750.0,2702.0,0.417959183673,2.57824427481
129,36005023200,Bronx,1259.0,3870.0,2611.0,0.21512605042,2.07386814932
131,36005023302,Bronx,1245.0,5550.0,4305.0,0.458498023715,3.4578313253
139,36005024000,Bronx,1233.0,18945.0,17712.0,0.232690124858,14.3649635036
146,36005025000,Bronx,1325.0,1800.0,475.0,0.113268608414,0.358490566038
147,36005025100,Bronx,1025.0,1800.0,775.0,0.324460431655,0.756097560976
151,36005025600,Bronx,1295.0,25350.0,24055.0,0.202830188679,18.5752895753
152,36005025700,Bronx,1083.0,3600.0,2517.0,0.282383419689,2.32409972299
158,36005026602,Bronx,1130.0,2025.0,895.0,0.205431754875,0.79203539823
163,36005027401,Bronx,1421.0,2970.0,1549.0,0.0374665477252,1.09007741027
166,36005027900,Bronx,1237.0,3250.0,2013.0,0.0886524822695,1.62732417138
168,36005028300,Bronx,801.0,3570.0,2769.0,0.339930151339,3.45692883895
170,36005028500,Bronx,1331.0,2370.0,1039.0,0.138957816377,0.780616078137
174,36005028900,Bronx,1200.0,5070.0,3870.0,0.051256281407,3.225
176,36005029302,Bronx,1943.0,5092.5,3149.5,0.0,1.62094698919
177,36005029500,Bronx,1643.0,2610.0,967.0,0.0317991631799,0.588557516738
179,36005029700,Bronx,1503.0,4050.0,2547.0,0.00970873786408,1.69461077844
180,36005030000,Bronx,1250.0,4500.0,3250.0,0.059377262853,2.6
182,36005030701,Bronx,1758.0,2700.0,942.0,0.0618066561014,0.535836177474
183,36005030900,Bronx,1785.0,4890.0,3105.0,0.0144927536232,1.73949579832
184,36005031000,Bronx,1741.0,2100.0,359.0,0.0793140407288,0.206203331419
185,36005031200,Bronx,1549.0,2070.0,521.0,0.0647773279352,0.336346029697
186,36005031400,Bronx,1173.0,2250.0,1077.0,0.037773359841,0.918158567775
